# File: L101.in_EJ_ctry_bld_Fi_Yh.csv
# Title: energy balance bld
# Units: NA
# Column types: cccnn
# ----------
iso,sector,fuel,year,value
che,in_bld_comm,biomass,1971,0
che,in_bld_comm,coal,1971,0
che,in_bld_comm,electricity,1971,0.02452996
che,in_bld_comm,gas,1971,0
che,in_bld_comm,heat,1971,0
che,in_bld_comm,refined liquids,1971,0.23173696
che,in_bld_resid,biomass,1971,0.00966966
che,in_bld_resid,coal,1971,0.00954408
che,in_bld_resid,electricity,1971,0.02507414
che,in_bld_resid,gas,1971,0.00673946
che,in_bld_resid,heat,1971,0
che,in_bld_resid,refined liquids,1971,0
chl,in_bld_comm,biomass,1971,0
chl,in_bld_comm,coal,1971,0.00276276
chl,in_bld_comm,electricity,1971,0.0033488
chl,in_bld_comm,gas,1971,5.86E-04
chl,in_bld_comm,refined liquids,1971,0.0033488
chl,in_bld_resid,biomass,1971,0
chl,in_bld_resid,coal,1971,0
chl,in_bld_resid,electricity,1971,0.00305578
chl,in_bld_resid,gas,1971,0.00159068
chl,in_bld_resid,refined liquids,1971,0.02976246
chl,in_bld_resid,traditional biomass,1971,0.04805528
chn,in_bld_comm,coal,1971,0.21449064
chn,in_bld_comm,electricity,1971,0.01473472
chn,in_bld_comm,gas,1971,3.77E-04
chn,in_bld_comm,heat,1971,0
chn,in_bld_comm,refined liquids,1971,0.10661742
chn,in_bld_resid,coal,1971,1.6051217
chn,in_bld_resid,electricity,1971,0.01741376
chn,in_bld_resid,gas,1971,0.00154882
chn,in_bld_resid,heat,1971,0
chn,in_bld_resid,refined liquids,1971,0.03922282
chn,in_bld_resid,traditional biomass,1971,6.45757476
civ,in_bld_comm,biomass,1971,0.00560924
civ,in_bld_comm,electricity,1971,9.63E-04
civ,in_bld_comm,gas,1971,0
civ,in_bld_comm,refined liquids,1971,7.53E-04
civ,in_bld_resid,biomass,1971,0.00682318
civ,in_bld_resid,electricity,1971,2.93E-04
civ,in_bld_resid,refined liquids,1971,0.00192556
civ,in_bld_resid,traditional biomass,1971,0.03030664
cmr,in_bld_comm,biomass,1971,0.01557192
cmr,in_bld_comm,electricity,1971,3.35E-04
cmr,in_bld_comm,refined liquids,1971,0
cmr,in_bld_resid,biomass,1971,0.0014651
cmr,in_bld_resid,electricity,1971,1.67E-04
cmr,in_bld_resid,refined liquids,1971,7.95E-04
cmr,in_bld_resid,traditional biomass,1971,0.07698054
cod,in_bld_comm,electricity,1971,0.01314404
cod,in_bld_comm,refined liquids,1971,0.01439984
cod,in_bld_resid,biomass,1971,0.0035581
cod,in_bld_resid,coal,1971,0
cod,in_bld_resid,electricity,1971,0
cod,in_bld_resid,refined liquids,1971,0
cod,in_bld_resid,traditional biomass,1971,0.1718353
cog,in_bld_comm,biomass,1971,0
cog,in_bld_comm,electricity,1971,0
cog,in_bld_comm,refined liquids,1971,0
cog,in_bld_resid,biomass,1971,0.00159068
cog,in_bld_resid,electricity,1971,1.26E-04
cog,in_bld_resid,refined liquids,1971,5.86E-04
cog,in_bld_resid,traditional biomass,1971,0.00849758
col,in_bld_comm,biomass,1971,0.00318136
col,in_bld_comm,coal,1971,0
col,in_bld_comm,electricity,1971,0.006279
col,in_bld_comm,gas,1971,0
col,in_bld_comm,refined liquids,1971,0.0267904
col,in_bld_resid,biomass,1971,0.00368368
col,in_bld_resid,coal,1971,0.00640458
col,in_bld_resid,electricity,1971,0.0121394
col,in_bld_resid,gas,1971,0
col,in_bld_resid,refined liquids,1971,0.03080896
col,in_bld_resid,traditional biomass,1971,0.14780766
com,in_bld_comm,biomass,1971,5.88E-06
com,in_bld_comm,coal,1971,0
com,in_bld_comm,electricity,1971,1.55E-06
com,in_bld_comm,gas,1971,0
com,in_bld_comm,refined liquids,1971,1.66E-04
com,in_bld_resid,biomass,1971,2.04E-05
com,in_bld_resid,coal,1971,0
com,in_bld_resid,electricity,1971,3.10E-06
com,in_bld_resid,refined liquids,1971,4.49E-06
com,in_bld_resid,traditional biomass,1971,0.002750318
cpv,in_bld_comm,biomass,1971,6.80E-06
cpv,in_bld_comm,coal,1971,0
cpv,in_bld_comm,electricity,1971,1.79E-06
cpv,in_bld_comm,gas,1971,0
cpv,in_bld_comm,refined liquids,1971,1.92E-04
cpv,in_bld_resid,biomass,1971,2.36E-05
cpv,in_bld_resid,coal,1971,0
cpv,in_bld_resid,electricity,1971,3.58E-06
cpv,in_bld_resid,refined liquids,1971,5.19E-06
cpv,in_bld_resid,traditional biomass,1971,0.003180077
cri,in_bld_comm,biomass,1971,0
cri,in_bld_comm,coal,1971,0
cri,in_bld_comm,electricity,1971,8.37E-05
cri,in_bld_comm,refined liquids,1971,0
cri,in_bld_resid,biomass,1971,1.26E-04
cri,in_bld_resid,electricity,1971,0.00234416
cri,in_bld_resid,refined liquids,1971,0.00121394
cri,in_bld_resid,traditional biomass,1971,0.00431158
cub,in_bld_comm,biomass,1971,0.00171626
cub,in_bld_comm,coal,1971,0
cub,in_bld_comm,electricity,1971,0.0023023
cub,in_bld_comm,gas,1971,2.09E-04
cub,in_bld_comm,refined liquids,1971,0.0131859
cub,in_bld_resid,biomass,1971,0.00192556
cub,in_bld_resid,electricity,1971,0.00368368
cub,in_bld_resid,gas,1971,0.00108836
cub,in_bld_resid,refined liquids,1971,0.05349708
cub,in_bld_resid,traditional biomass,1971,2.09E-04
cym,in_bld_comm,biomass,1971,3.33E-07
cym,in_bld_comm,coal,1971,4.33E-06
cym,in_bld_comm,electricity,1971,6.49E-05
cym,in_bld_comm,gas,1971,4.99E-07
cym,in_bld_comm,refined liquids,1971,2.09E-04
cym,in_bld_resid,biomass,1971,4.99E-07
cym,in_bld_resid,coal,1971,3.33E-07
cym,in_bld_resid,electricity,1971,3.98E-05
cym,in_bld_resid,gas,1971,1.66E-07
cym,in_bld_resid,refined liquids,1971,3.83E-06
cym,in_bld_resid,traditional biomass,1971,5.49E-06
cyp,in_bld_comm,biomass,1971,2.93E-04
cyp,in_bld_comm,electricity,1971,7.12E-04
cyp,in_bld_comm,refined liquids,1971,0
cyp,in_bld_resid,biomass,1971,0
cyp,in_bld_resid,coal,1971,0
cyp,in_bld_resid,electricity,1971,5.44E-04
cyp,in_bld_resid,refined liquids,1971,0.0016744
cze,in_bld_comm,biomass,1971,0
cze,in_bld_comm,coal,1971,0.0351624
cze,in_bld_comm,electricity,1971,0.01063244
cze,in_bld_comm,gas,1971,0.04278092
cze,in_bld_comm,heat,1971,0
cze,in_bld_comm,refined liquids,1971,0.00385112
cze,in_bld_resid,biomass,1971,0
cze,in_bld_resid,coal,1971,0.32102434
cze,in_bld_resid,electricity,1971,0.01163708
cze,in_bld_resid,gas,1971,0.00527436
cze,in_bld_resid,heat,1971,0
cze,in_bld_resid,refined liquids,1971,0.00184184
deu,in_bld_comm,biomass,1971,0.03072524
deu,in_bld_comm,coal,1971,0.36033088
deu,in_bld_comm,electricity,1971,0.14362166
deu,in_bld_comm,gas,1971,0.15638896
deu,in_bld_comm,heat,1971,0
deu,in_bld_comm,refined liquids,1971,0.6653647
deu,in_bld_resid,biomass,1971,0.04575298
deu,in_bld_resid,coal,1971,0.70651308
deu,in_bld_resid,electricity,1971,0.23370438
deu,in_bld_resid,gas,1971,0.03491124
deu,in_bld_resid,heat,1971,0.133952
deu,in_bld_resid,refined liquids,1971,1.20175874
dji,in_bld_comm,biomass,1971,4.25E-06
dji,in_bld_comm,coal,1971,0
dji,in_bld_comm,electricity,1971,1.12E-06
dji,in_bld_comm,gas,1971,0
dji,in_bld_comm,refined liquids,1971,1.20E-04
dji,in_bld_resid,biomass,1971,1.47E-05
dji,in_bld_resid,coal,1971,0
dji,in_bld_resid,electricity,1971,2.23E-06
dji,in_bld_resid,refined liquids,1971,3.24E-06
dji,in_bld_resid,traditional biomass,1971,0.00198525
dma,in_bld_comm,biomass,1971,2.49E-06
dma,in_bld_comm,coal,1971,3.23E-05
dma,in_bld_comm,electricity,1971,4.85E-04
dma,in_bld_comm,gas,1971,3.73E-06
dma,in_bld_comm,refined liquids,1971,0.001558643
dma,in_bld_resid,biomass,1971,3.73E-06
dma,in_bld_resid,coal,1971,2.49E-06
dma,in_bld_resid,electricity,1971,2.97E-04
dma,in_bld_resid,gas,1971,1.24E-06
dma,in_bld_resid,refined liquids,1971,2.86E-05
dma,in_bld_resid,traditional biomass,1971,4.10E-05
dnk,in_bld_comm,biomass,1971,0
dnk,in_bld_comm,coal,1971,0
dnk,in_bld_comm,electricity,1971,0.03436706
dnk,in_bld_comm,gas,1971,4.60E-04
dnk,in_bld_comm,heat,1971,0
dnk,in_bld_comm,refined liquids,1971,8.37E-05
dnk,in_bld_resid,biomass,1971,0.0023023
